,,,,"朱立凡
宗教聯盟","宋柏澄
台澎黨","洪慈庸
無黨籍","張睿倉
台灣民眾黨","張烱春
喜樂島聯盟","楊瓊瓔
中國國民黨",合一行動聯盟,中華統一促進黨,親民黨,安定力量,台灣基進,時代力量,新黨,喜樂島聯盟,中國國民黨,一邊一國行動黨,勞動黨,綠黨,宗教聯盟,民主進步黨,台灣民眾黨,台灣維新,台澎黨,國會政黨聯盟,台灣團結聯盟,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 眉山里,486,0,0,410,41,3,370,2,5,37,5,29,68,5,2,269,8,1,10,1,232,107,2,2,4,25,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 眉山里,487,0,1,302,38,0,346,1,1,24,0,12,51,2,5,269,0,1,15,0,183,100,1,1,1,11,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 月眉里,488,3,1,387,26,4,277,0,3,23,6,11,45,2,5,209,4,0,8,4,260,93,0,1,0,26,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 月眉里,489,0,1,386,34,3,285,1,0,32,1,19,49,4,1,214,1,2,7,3,258,86,1,1,0,24,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 公館里,490,1,4,419,20,1,314,0,1,15,1,24,50,1,2,233,3,1,12,1,304,75,1,1,0,21,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 公館里,491,2,2,350,37,1,409,0,1,30,1,23,70,5,1,279,7,2,9,1,238,98,3,3,0,11,,,,,,,,,,,,,,,,,,,
臺中市, 后里區, 泰安里,492,0,1,526,43,0,434,0,1,46,3,27,77,6,1,295,5,1,22,4,365,110,0,2,2,17,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 神岡里,493,2,0,385,52,2,338,2,0,25,1,24,58,3,0,229,4,1,14,2,274,126,2,0,3,1,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 神岡里,494,0,0,375,57,1,348,0,0,27,6,20,45,3,0,247,5,1,12,0,297,112,1,0,1,3,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 神岡里,495,0,0,359,53,2,368,1,2,33,1,24,56,0,0,284,4,0,8,0,284,81,0,0,3,0,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 庄前里,496,1,3,414,71,0,413,0,1,34,8,19,50,5,1,269,8,0,15,1,318,160,0,0,0,7,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 庄前里,497,3,2,361,54,7,382,1,1,23,3,18,51,6,4,255,15,1,17,3,283,114,1,0,0,4,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 北庄里,498,1,2,497,58,1,411,1,1,42,9,33,54,5,3,273,10,2,17,1,368,140,1,0,0,5,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 北庄里,499,5,3,455,49,1,456,1,1,38,8,18,67,4,5,309,7,0,12,3,352,128,0,0,1,8,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 庄後里,500,2,0,444,63,2,351,0,0,27,4,18,55,2,0,227,24,2,15,4,349,108,2,3,3,1,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 庄後里,501,3,1,466,47,3,328,0,2,28,2,22,54,5,3,235,5,2,8,4,351,117,0,4,0,2,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 圳前里,502,1,1,442,61,2,466,1,2,32,13,30,63,1,0,283,8,0,14,6,374,133,1,0,0,6,,,,,,,,,,,,,,,,,,,
臺中市, 神岡區, 圳前里,503,2,2,269,53,1,435,3,4,23,1,13,41,6,1,321,7,1,12,3,233,91,1,0,0,4,,,,,,,,,,,,,,,,,,,
